id,year,journal,title,abstract
41268228,2025,American journal of translational research,Relationship between Ki-67 and P53 immunohistochemical expression and osteosarcoma chemotherapy sensitivity and long-term prognosis.,To identify biomarkers predictive of chemotherapy sensitivity and prognosis in patients with osteosarcoma.
41267398,2025,Obstetrics & gynecology science,Prognostic and predictive roles of microsatellite instability and mismatch repair deficiency in early-stage endometrial cancer: a structured narrative review.,"The incidence of endometrial cancer (EC) is rising, increasingly affecting younger women who wish to preserve their fertility. While the International Federation of Gynecology and Obstetrics staging system guides early-stage EC treatment, its prognostic and predictive accuracies are limited, highlighting the need for more precise tools. Molecular classification, particularly mismatch repair (MMR) status and microsatellite instability (MSI), has emerged as a promising strategy for risk stratification and personalized management. This narrative review synthesizes the current evidence on the role of MMR and MSI as prognostic and predictive biomarkers in early-stage EC. Using a structured narrative approach, we critically examined studies investigating molecular subtypes, especially MMR deficiency (MMRd), and their association with clinicopathological features, treatment responses, and oncological outcomes. The findings indicate that molecular profiling provides key insights beyond traditional pathology. MMRd is associated with less favorable outcomes, including higher recurrence and reduced response to hormonal or fertility-sparing therapies, potentially increasing treatment failure rates. Distinct responses to adjuvant radiation have been observed in MMRd tumors. Regarding nodal involvement, MSI has been associated with increased occult lymph node metastases, while both p53-abnormal and MMRd groups show higher rates of sentinel lymph node positivity than other subtypes. Overall, the MSI/MMRd status appears to be pivotal for improving prognosis and guiding personalized treatment of early-stage EC. Integrating molecular classification into clinical practice may optimize patient selection for conservative therapies, refine lymph node staging strategies, and inform adjuvant treatment decisions. Large prospective studies are essential to validate these findings and facilitate the adoption of standardized guidelines for individualized care."
41267117,2025,Cell communication and signaling : CCS,The multifaceted role of PUMA in cell death pathways: its therapeutic potential across cancer types.,"Cell death is a fundamental process essential to all living organisms, with apoptosis serving as one of the most crucial pathways across various stages of life. Dysregulation of apoptosis is closely associated with numerous diseases, particularly cancer. PUMA (p53 upregulated modulator of apoptosis) is a key mediator of apoptotic cell death. It is activated in response to a wide range of internal and external signals. Beyond its established role in apoptosis, PUMA also regulates other forms of cell death, including necroptosis, autophagy, and ferroptosis, underscoring its critical role in cancer cell death, especially during chemotherapy. However, PUMA activation is frequently impaired in many cancers, leading to resistance to cell death and treatment failure. This review highlights recent advancements in understanding the regulation of PUMA expression at multiple levels, including epigenetic, transcriptional, post-transcriptional, and post-translational mechanisms. It also examines the influence of diverse cellular regulators, such as epigenetic modifiers, transcription factors, non-coding RNAs, kinases, and ubiquitin ligases in modulating PUMA activity. Additionally, we discuss PUMA's role in cancer progression, its impact on the effectiveness of anti-cancer therapies, and its potential as a prognostic biomarker for therapeutic resistance. Finally, we propose critical questions to inspire future research, aiming to deepen the understanding of PUMA regulation and its significance in cancer therapy."
41266746,2025,Scientific reports,Synthesis and preliminary biological evaluation of quinoline-chrysin hybrids against head and neck squamous cell carcinoma.,"Chrysin belongs to natural flavonoids characterized wide spectrum of biological activity. Its use in treatment is limited by low bioavailability and rapid metabolism. The structure-activity relationship shows that introduction of substituent at C7 position of flavone scaffold increase the activity and bioavailability. In this study, a series of quinoline-chrysin hybrids was obtained. The structure of compounds was determined using spectroscopic methods. The anticancer activity of compounds was tested against neck and head squamous cell carcinoma lines (HNSCC), while the antioxidant activity was determined using DPPH method. The biological effect depends on the type of quinoline moiety. For the most active compounds, IC"
41266709,2025,Discover oncology,OTUD4 suppresses colorectal cancer progression through deubiquitinating p53.,
41266683,2025,Discover oncology,Transient Receptor Potential Melastatin 4 (TRPM4) is associated with an immuno-stimulatory TME and better prognosis in BLCA.,"Bladder cancer (BLCA) is one of the most invasive and malignant tumors in the world, thus leading to the urgent need of an accurate and recognizable biomarker. Several previous research has shown that Transient Receptor Potential Melastatin 4 (TRPM4) plays an important role in measuring vascular fragility and endothelial function. However, the role of TRPM4 in tumor hasn't been explored."
41266629,2025,Nature aging,Reprogramming the GRHL2-CDK19 axis by gene therapy alleviates prostate aging.,"The prostate is a multifunctional organ of the male reproductive system whose aging process impairs sexual and urinary function and fertility and increases disease susceptibility, thereby compromising quality of life. However, the mechanisms underlying human prostate aging remain poorly understood. Here we integrated single-nucleus transcriptomics and histological analyses to elucidate the aging mechanisms of the primate prostate. We identified epithelial cell senescence, chronic inflammation and fibrosis as key hallmarks of prostate aging. In young epithelial cells, GRHL2 promotes CDK19 transcription, which sequesters p53, leading to the suppression of p21"
41265408,2025,"Environmental analysis, health and toxicology",Astaxanthin ameliorates necroptosis through bisphenol-A exposure by regulating brain RIPK1/FADD/RIPK3/MLKL pathway in adult male rats.,"Bisphenol A (BPA), a common endocrine-disrupting chemical, can cause oxidative damage, apoptosis, and necroptosis in various organs. However, the underlying mechanisms for BPA-induced neurotoxicity were not properly reported. Here, we have evaluated the possible ameliorative roles of astaxanthin (ASX) against BPA-induced brain apoptosis/necroptosis in male rats. Forty male rats were equally grouped (30 days) into control, ASX (75 mg/kg), BPA (50 mg/kg), and BPA/ASX (50 mg/kg/BAP+75 mg/kg/ASX). The present findings demonstrated that ASX could mitigate the diminished acetylcholinesterase (AchE) activity and the increased dopamine, serotonin, and norepinephrine levels, besides anxiety behaviors that resulted from BPA intoxication. Furthermore, ASX significantly reduced BPA-induced brain oxidative injury by mitigating malondialdehyde (MDA), glutathione (GSH), glutathione transferase (GST), superoxide dismutase (SOD), and catalase (CAT) levels. Moreover, ASX could alleviate the histopathological changes promoted by BPA and repair the transcript levels of p53, BcL2, caspase9, FADD, RIPK1/3, MLKL along with Bax, and caspase3 immunoreactivity. In conclusion, ASX reserved brain injury-induced apoptosis, and necroptosis following exposure to BPA through p53/Bcl2/Bax/caspase9/capasase3 and RIPK1/FADD/RIPK3/MLKL pathways."
41265404,2025,"Environmental analysis, health and toxicology",Evaluation of the divergent effects of pyrethroid- and D-allethrin-based coil fumes in male Wistar rats.,"Mosquito coil fume is a cheap and commonly used method of reducing malaria incidence in third-world countries. The effects of fumes from pyrethroid and D-allethrin-based mosquito coils available in the Nigerian market were assessed in male Wistar rats. The rats were exposed to the insecticide fumes for 7, 14, and 21 days, while another group served as a control. The experiment consisted of seven randomly divided groups of six weight-matched animals per group. Plasma alanine aminotransferase (ALT), aspartate aminotransferase (AST), lactate dehydrogenase (LDH), cholesterol, phospholipids, high-density lipoprotein cholesterol (HDL-C), and high-density lipoprotein phospholipid (HDL-P) were evaluated. Lung-, liver- and kidney-reduced glutathione (GSH), glutathione peroxide (GPx), glutathione-S-transferase (GST), superoxide dismutase (SOD), malondialdehyde/lipid peroxidation (MDA) and lipid hydroperoxide (LOOH) were also evaluated. Histoimmunochemistry was used to assess lung p53 and Bcl-2 expressions. Pyrethroid and D-allethrin-based fumes induced a significant (p < 0.05) increase in plasma AST, LDH, cholesterol, phospholipids, and HDL-P, with a reduction of HDL-C levels. The fumes significantly and differently dysregulated antioxidant enzymes. The inhalations of the fumes induced significant (p < 0.05) increases in kidney MDA and LOOH levels, liver MDA by pyrethroid fume, and lung MDA by D-allethrin only, but lung LOOH by inhalations of both fumes. The increased expression of lung p53 and repression of Bcl-2 by both fumes were duration-dependent. The fume-induced disproportionate tissue function biomarkers, redox status, and apoptosis-related proteins. These effects are a possible panoply of divergent modes by which exposure to coil fumes can be deleterious to human health."
41264843,2025,Diabetes,NUAK1 Promotes Diabetic Kidney Disease by Accelerating Renal Tubular Senescence via the ROS/P53 Axis.,"Diabetic kidney disease (DKD) progression involves intricate interactions among senescence, oxidative stress, inflammation, and fibrosis. This study systematically investigates the regulatory role and molecular mechanisms of NUAK1 in DKD pathogenesis. Bioinformatics analysis of Gene Expression Omnibus data sets identified NUAK1 as a differentially expressed gene, validated in human kidney proximal tubule epithelial (HK-2) cells, high-fat diet and streptozotocin-induced DKD mice, d-galactose-induced senescent mice, and human peripheral blood mononuclear cells. Functional studies demonstrated that NUAK1 inhibition via siRNA knockdown, pharmacological inhibitors, or kidney tubule-targeted adeno-associated virus serotype carrying shRNA against NUAK1 delivery attenuated reactive oxygen species-tumor protein 53 (ROS/P53) axis-mediated renal tubular senescence, oxidative stress, inflammation, and fibrosis in vitro and in vivo. Mechanistically, chromatin immunoprecipitation quantitative PCR revealed that transcription factor ETS1 directly binds to the NUAK1 promoter, driving its transcriptional activation in DKD. Furthermore, molecular docking and dynamics simulations identified Asiatic acid (AA) as a potent NUAK1 inhibitor, with a stable binding affinity. AA suppressed NUAK1 expression and downstream pathological processes, ameliorating renal injury in DKD models. These findings elucidate the role and regulatory mechanisms of NUAK1 in modulating ROS/P53 axis-driven tubular senescence and oxidative stress, providing a theoretical basis for structure optimization in drug development targeting NUAK1."
41264333,2025,Blood,Confirmation by conformation: rescue of mutant p53 in AML.,
41263349,2025,Voprosy pitaniia,[Hyperammonemia and metabolic-associated fatty liver disease: a complex relationship].,"Non-alcoholic or metabolic-associated fatty liver disease (NAFLD/MAFLD) is a non-infectious pandemic of the 21st century, affecting about a third of the adult population worldwide. According to epidemiological studies in the Russian Federation, the prevalence of NAFLD based on the Fatty Liver Index (FLI) is 39.2%. With MAFLD, the activity of ornithine (urea) cycle enzymes may decrease, potentially leading to hyperammonigistia (excessive accumulation of ammonia in tissues) and hyperammonemia. Both conditions have multiple negative effects on different cell and tissue types. The aim of the research was to evaluate the role of ammonia as a potential pathogenic factor in the progression of MAFLD and the development of comorbidity."
41261168,2025,Communications biology,DNA methyltransferase Dnmt3ba-mediated epigenetic modulation of Integrin signaling is essential for hematopoietic stem and progenitor cell development.,"In vertebrate embryonic development, hematopoietic stem and progenitor cells (HSPCs) originate from a subset of arterial endothelial cells in the ventral wall of the dorsal aorta through endothelial-to-hematopoietic transition (EHT). Despite extensive research efforts, gaps persist in understanding the establishment of HSPC development. In this study, we demonstrate that DNA methyltransferase 3ba (Dnmt3ba), highly expressed in the hemogenic endothelial cells (HECs), plays a crucial role in regulating HEC survival in zebrafish. Dnmt3ba deficiency leads to hypomethylation at the itgα3b and itgα7 loci, diminishing the expression of these Integrins and downstream Akt signaling and Mdm2 phosphorylation, while concurrently triggering HEC apoptosis by upregulation of P53 activity. Manipulation of DNMT3B in an iPSC-derived human hematopoietic differentiation system indicates functional conservation. Collectively, our findings unveil an epigenetic mechanism governed by Dnmt3ba, orchestrating HEC survival through epigenetic modulation of Integrin signaling."
41261027,2025,Zhen ci yan jiu = Acupuncture research,[Mild moxibustion attenuates vascular and renal aging in senescent rats by regulating the miR-34a/sirt1/p53 signaling pathway].,"To observe the effect of mild moxibustion on microRNA-34a (miR-34a)/silent information regulator 1 (sirt1)/tumor protein p53 (p53) signaling pathway in the thoracic aorta and kidney of senescent rats, so as to investigate the mechanism of mild moxibustion in attenuating vascular and renal aging."
41260551,2025,Journal of ethnopharmacology,Gastroprotective effects of Heracleum persicum hydroethanolic extract against ethanol-induced gastric ulcer in rats via suppressing oxidative stress and apoptosis.,"Heracleum persicum, traditionally used as a ""warm-natured"" stomach tonic, is widely employed in Persian ethnomedicine to relieve gastric discomfort, dyspepsia, and ulcers. Despite its long history of use, pharmacological evidence for its gastroprotective potential has remained unexplored."
41260455,2025,Toxicon : official journal of the International Society on Toxinology,The impact of abamectin treatment on oxidative stress and the caspase-3/caspase-8/caspase-9/Bcl-2/Bax/Fas/p53 mediated apoptotic pathway: Role of baicalin and vitamin E.,"Abamectin (ABM) is synthesised by Streptomyces avermitilis and is used for the treatment of Onchocerca volvulus in humans and also in the veterinary and agricultural areas. The study employed 48 male Wistar Albino rats, aged 2-3 months and weighed 150-200 g, 8 per group. Control animals received corn oil. The experimental groups received 100 mg/kg.bw baicalin (BAI), 100 mg/kg.bw vitamin E (VIT E), 2 mg/kg.bw ABM, 2 mg/kg.bw ABM combined with 100 mg/kg.bw BAI, and 2 mg/kg.bw ABM combined with 100 mg/kg.bw VIT E for 28 days. Oxidative stress parameters of MDA, NO, GSH, GPx, GR, GST, SOD, and CAT, liver expression levels of caspase 3, 8, 9, Bcl-2, Bax, Fas, and p53, and biochemical parameters of triglyceride, cholesterol, total protein, albumin, LDH, AST, ALT and ALP were measured. ABM alone caused significant variations in the investigated parameters, but the combinations of ABM plus BAI or VIT E corresponded more closely to the control values. ABM altered the oxidant-antioxidant equilibrium, increasing oxidation and apoptosis. VIT E and BAI was regressed this pathological process to some extent. Toxic impact mitigation was similar for both compounds. VIT E and BAI may serve as additional treatments in cases of ABM toxicity."
41259151,2025,Proceedings of the National Academy of Sciences of the United States of America,"Correction for Hao et al., Synthetical lethality of Werner helicase and mismatch repair deficiency is mediated by p53 and PUMA in colon cancer.",
41258695,2025,Translational vision science & technology,Is the Laminar Flow From the Vitrectomy Infusion Cannula Potentially Harmful?,"To model the jet flow of a 25G vitrectomy infusion cannula onto the opposite retina in a balanced salt solution-filled eye, calculate pressure and shear stress at the retina, and evaluate the biologic response to the localized increase of pressure on an ex vivo pig retina model."
41258572,2025,Discover oncology,Ubiquitin-specific proteases as key regulators in the malignant progression and therapy resistance of colorectal cancer: current insights and future perspectives.,"As a member of the DUBs (deubiquitinating enzymes) family, USPs (ubiquitin-specific peptidases) play a crucial regulatory role in the occurrence and progression of various malignancies. This review summarizes the current research on USPs in colorectal cancer, with a focus on the involvement of different USPs as either oncogenes or tumor suppressor genes in regulating the malignant progression of colorectal cancer. We discuss in detail the regulatory role of USPs in the process of drug resistance in tumors, the signaling pathways regulated by USPs, the correlation between different USP expression levels and early diagnosis and prognostic evaluation, as well as the latest research developments in USP inhibitors. Mechanistically, USPs regulate key proteins in several signaling pathways, including Wnt, P53, and PI3K/Akt/mTOR, highlighting their significant role in the malignant progression of colorectal cancer. Finally, we further discuss the functional and mechanistic differences among various USPs, the challenges faced in developing USP inhibitors, and prospects for future research directions."
41258438,2025,Cellular and molecular life sciences : CMLS,Putrescine functions as a metabolic checkpoint in replication stress-induced senescence.,"Cellular senescence represents a fundamental biological response to replication stress and other genotoxic insults, acting as both a barrier to malignant transformation and a driver of age-related tissue dysfunction. Here, we dissect the metabolic remodeling that accompanies senescence triggered by sustained activation of the replication licensing factor CDC6. Induction of CDC6 in human bronchial epithelial cells provoked a biphasic response characterized by transient hyperproliferation followed by accumulation of senescence-associated β-galactosidase-positive cells. Targeted metabolomics revealed an early increase in intracellular putrescine that was followed by pronounced decline at senescence onset. Functional studies demonstrated that putrescine supplementation attenuated CDC6-induced senescence, whereas knockdown of ODC1, the rate-limiting enzyme in putrescine biosynthesis, accelerated it and increased TP53 accumulation. Mechanistically, CDC6 controls the ODC1-putrescine axis through ERK and GSK3β-mediated regulation of MYC, whereby early-phase ERK signaling stabilizes MYC to enhance polyamine biosynthesis, while prolonged CDC6 activation triggers GSK3β-dependent MYC degradation, ODC1 downregulation, and commitment to senescence. Targeted re-analysis of publicly available single-cell RNA-sequencing datasets from COVID pneumonia patients revealed elevated CDC6 expression alongside reduced MYC and ODC1 levels in alveolar epithelial cells exhibiting markers of senescence. Collectively, these findings identify putrescine as a metabolic checkpoint in replication stress-induced senescence and reveal a MYC-orchestrated signaling-metabolic circuit that temporally integrates oncogene activation with cell fate decisions."
41258146,2025,Human genomics,KIF11 variants in familial exudative vitreoretinopathy leading to mTORC1 overactivation and impaired cell cycle progression.,This study aimed to identify potentially pathogenic variants in the 
41257933,2025,Scientific reports,Molecular profiling of endometrial cancer in Martinique reveals frequent CCNE1 amplification in poor prognosis tumors.,"In Martinique, there is an unmet need in EC management. Although the incidence rate is similar to that in mainland France, the mortality rate is higher, potentially due to the over-incidence of high-grade tumors. Recently, we reported CCNE1 amplification in 70% of these tumors which have a poor prognosis. This alteration has been observed in non-endometrioid subtypes of African American women. To elucidate the over-incidence of poor prognosis EC in Martinique, we aim to describe molecular profiles especially CCNE1 amplification of a cohort of all patient diagnosed between January 2023 and June 2024."
41257451,2025,FEBS open bio,RETRACTION: SPC25 May Promote Proliferation and Metastasis of Hepatocellular Carcinoma via p53.,"F. Chen, K. Zhang, Y. Huang, F. Luo, K. Hu, and Q. Cai, ""SPC25 May Promote Proliferation and Metastasis of Hepatocellular Carcinoma via p53,"" FEBS Open Bio 10, no. 7 (2020): 1261-1275. https://doi.org/10.1002/2211-5463.12872. The above article, published online on 29 April 2020 in Wiley Online Library (wileyonlinelibrary.com), has been retracted by agreement between the journal Editor-in-Chief, Miguel De la Rosa; the Federation of European Biochemical Societies; and John Wiley & Sons Ltd., UK. A third party reported that images in Figures 11A, 11B, and 11C had been published in other articles both prior to and after the publication of this article and are also listed as representing different experiments [Ling et al. 2019 (https://doi.org/10.3892/ijo.2019.4926)]; [Ke et al. 2020 (https://doi.org/10.1186/s12935-020-01474-7)]; and [Ling et al. 2021 (https://doi.org/10.18632/aging.203318)]. Additionally, the Migration and Invasion images for si-SPC25 contain an overlapping section. An investigation by the journal confirmed these instances of image duplication and also discovered that the HepG2 and SMMC-7721 cell lines discussed in this article are known to be misclassified and contaminated, respectively. The authors did not respond to an inquiry and request for original data by the publisher. The retraction has been agreed to because the evidence of image duplication across multiple publications, in which the images are reported as different samples by different author groups, fundamentally compromises the editors' confidence in the results presented. As a result, the Editor-in-Chief, FEBS Press, and John Wiley and Sons Ltd. have determined that a retraction is necessary. The authors did not respond to our notice regarding the retraction."
41257424,2025,Molecular omics,,
