PDB ID,Method,Resolution,Covered Ranges (Chains)
1YHE,X-ray,2.10 A,B/D=2-147
1YHR,X-ray,2.60 A,B/D=2-147
1YIE,X-ray,2.40 A,B/D=2-147
1YIH,X-ray,2.00 A,B/D=2-147
1YVQ,X-ray,1.80 A,B/D=2-147
1YVT,X-ray,1.80 A,B=2-147
1YZI,X-ray,2.07 A,B=2-147
2D5Z,X-ray,1.45 A,B/D=2-147
2D60,X-ray,1.70 A,B/D=2-147
2DN1,X-ray,1.25 A,B=2-147
2DN2,X-ray,1.25 A,B/D=2-147
2DN3,X-ray,1.25 A,B=2-147
2DXM,Neutron,2.10 A,B/D=2-147
2H35,NMR,-,B/D=2-147
2HBC,X-ray,2.10 A,B=2-147
2HBD,X-ray,2.20 A,B=2-147
2HBE,X-ray,2.00 A,B=2-147
2HBF,X-ray,2.20 A,B=2-147
2HBS,X-ray,2.05 A,B/D/F/H=2-147
2HCO,X-ray,2.70 A,B=2-147
2HHB,X-ray,1.74 A,B/D=2-147
2HHD,X-ray,2.20 A,B/D=2-147
2HHE,X-ray,2.20 A,B/D=4-147
2M6Z,NMR,-,B/D=2-147
2W6V,X-ray,1.80 A,B/D=2-147
2W72,X-ray,1.07 A,B/D=3-147
2YRS,X-ray,2.30 A,B/D/K/O=2-147
3B75,X-ray,2.30 A,B/D/F/H/T=2-147
3D17,X-ray,2.80 A,B/D=2-147
3D7O,X-ray,1.80 A,B=2-147
3DUT,X-ray,1.55 A,B/D=2-147
3HHB,X-ray,1.74 A,B/D=2-147
3HXN,X-ray,2.00 A,B/D=2-147
3IC0,X-ray,1.80 A,B/D=2-147
3IC2,X-ray,2.40 A,B/D=2-147
3KMF,Neutron,2.00 A,C/G=2-147
3NL7,X-ray,1.80 A,B=2-147
3NMM,X-ray,1.60 A,B/D=2-147
3ODQ,X-ray,3.10 A,B/D=2-147
3ONZ,X-ray,2.09 A,B=2-147
3OO4,X-ray,1.90 A,B=2-147
3OO5,X-ray,2.10 A,B=2-147
3P5Q,X-ray,2.00 A,B=2-147
3QJB,X-ray,1.80 A,B=2-147
3QJC,X-ray,2.00 A,B=2-147
3QJD,X-ray,1.56 A,B/D=2-147
3QJE,X-ray,1.80 A,B/D=2-147
3R5I,X-ray,2.20 A,B/D=2-147
3S65,X-ray,1.80 A,B/D=2-147
3S66,X-ray,1.40 A,B=2-147
3SZK,X-ray,3.01 A,B/E=2-147
3W4U,X-ray,1.95 A,B/D/F=2-147
3WCP,X-ray,1.94 A,B/D=2-147
3WHM,X-ray,1.85 A,B/F=2-147
4FC3,X-ray,2.26 A,B=2-147
4HHB,X-ray,1.74 A,B/D=2-147
4IJ2,X-ray,4.24 A,B/D=2-147
4L7Y,X-ray,1.80 A,B/D=2-147
4M4A,X-ray,2.05 A,B=2-147
4M4B,X-ray,2.00 A,B=2-147
4MQC,X-ray,2.20 A,B=2-147
4MQG,X-ray,1.68 A,B=2-147
4MQH,X-ray,2.50 A,B=2-147
4MQI,X-ray,1.92 A,B=2-147
4N7N,X-ray,2.75 A,B/D/F/H/J/L=2-147
4N7O,X-ray,2.50 A,B/D/F/H/J/L=2-147
4N7P,X-ray,2.81 A,B/D/F/H/J/L=2-147
4N8T,X-ray,1.90 A,B=2-147
4NI0,X-ray,2.15 A,B=2-147
4NI1,X-ray,1.90 A,B=2-147
4ROL,X-ray,1.70 A,B/D=2-147
4ROM,X-ray,1.90 A,B/D=2-147
4WJG,X-ray,3.10 A,1/B/G/L/Q/V=2-147
4X0L,X-ray,2.05 A,B=2-147
4XS0,X-ray,2.55 A,B=2-147
5E29,X-ray,1.85 A,B/D=3-147
5E6E,X-ray,1.76 A,B=2-147
5E83,X-ray,1.80 A,B/D=2-147
5EE4,X-ray,2.30 A,D/F=2-147
5HU6,X-ray,2.90 A,B=3-143
5HY8,X-ray,2.30 A,B/D/F/H/T=2-147
5JDO,X-ray,3.20 A,"D=3-147, F=3-146"
5KDQ,X-ray,2.15 A,B/D=2-147
5KSI,X-ray,1.80 A,B/D=2-147
5KSJ,X-ray,2.40 A,B/D=2-147
5NI1,EM,3.20 A,B/D=2-147
5SW7,X-ray,1.85 A,B=2-147
5U3I,X-ray,1.95 A,B/D=2-147
5UCU,X-ray,1.80 A,B=2-147
5UFJ,X-ray,2.05 A,B/D=2-147
5URC,X-ray,1.85 A,B/D=2-147
5VMM,X-ray,3.60 A,B/D=2-147
5WOG,X-ray,1.54 A,C/D=2-147
5WOH,X-ray,1.58 A,B/D=2-147
5X2R,X-ray,2.70 A,B/D/F/H/J/L=2-147
5X2S,X-ray,2.39 A,B/D/F/H/J/L=2-147
5X2T,X-ray,2.64 A,B/D/F/H/J/L=2-147
5X2U,X-ray,2.53 A,B/D/F/H/J/L=2-147
6BB5,X-ray,2.28 A,B=3-147
6BNR,X-ray,1.95 A,B/D=2-147
6BWP,X-ray,1.70 A,B/D=2-147
6BWU,X-ray,2.00 A,B=2-147
6DI4,X-ray,1.90 A,B/D=2-147
6FQF,X-ray,2.10 A,A/B/C/D=2-147
6HAL,X-ray,2.20 A,B/D=3-147
6HBW,X-ray,2.00 A,B/D=2-147
6HK2,X-ray,1.55 A,B/D=2-147
6KA9,X-ray,1.40 A,B/D/F/H=2-147
6KAE,X-ray,1.45 A,B/D/F/H=2-147
6KAH,X-ray,1.45 A,B/D/F/H=2-147
6KAI,X-ray,1.45 A,B/D/F/H=2-147
6KAO,X-ray,1.40 A,B=2-147
6KAP,X-ray,1.45 A,B=2-147
6KAQ,X-ray,1.50 A,B=2-147
6KAR,X-ray,1.60 A,B=2-147
6KAS,X-ray,1.65 A,B/D=2-147
6KAT,X-ray,1.70 A,B/D=2-147
6KAU,X-ray,1.60 A,B/D=2-147
6KAV,X-ray,1.70 A,B/D=2-147
6KYE,X-ray,2.28 A,B/D/F/H/J/L=1-147
6L5V,X-ray,1.45 A,B=2-147
6L5W,X-ray,1.50 A,B=2-147
6L5X,X-ray,1.65 A,B/D=2-147
6L5Y,X-ray,1.65 A,B/D=2-147
6LCW,X-ray,1.40 A,B/D/F/H=2-147
6LCX,X-ray,1.40 A,B/D/F/H=2-147
6NBC,EM,2.80 A,B/D=2-144
6NBD,EM,3.20 A,B/D=2-144
6NQ5,X-ray,1.85 A,B=2-147
6TB2,X-ray,2.90 A,B=2-147
6XD9,X-ray,2.10 A,B/D=2-147
6XDT,X-ray,1.90 A,B/D=2-147
6XE7,X-ray,2.00 A,B/D=2-147
7AET,X-ray,2.53 A,BBB/DDD=3-147
7AEU,X-ray,2.54 A,BBB/DDD=3-147
7AEV,X-ray,2.77 A,BBB/DDD=3-147
7CUE,X-ray,2.75 A,B/D=1-147
7DY3,X-ray,1.40 A,B/D/F/H=2-147
7DY4,X-ray,1.30 A,B/D/F/H=2-147
7JJQ,X-ray,2.15 A,B/D=2-147
7JXZ,X-ray,2.23 A,B/D=2-147
7JY0,X-ray,1.63 A,B/D=2-147
7JY1,X-ray,1.59 A,B/D=2-147
7JY3,X-ray,1.48 A,B/D=2-147
7K4M,X-ray,2.50 A,B/D/F/H/J=1-147
7PCF,EM,5.82 A,B=2-147
7PCH,EM,2.89 A,B/D=2-147
7PCQ,EM,3.62 A,B/D=2-147
7UD7,X-ray,1.80 A,B/D=1-147
7UD8,X-ray,1.80 A,B/D=1-147
7UF6,X-ray,2.00 A,B/D=1-147
7UF7,X-ray,2.00 A,B/D=1-147
7UVB,X-ray,2.05 A,B/D=2-147
7VDE,EM,3.20 A,B/D=1-147
7XGY,EM,3.50 A,B/D=1-147
8DOV,X-ray,2.10 A,B/D/F/H=2-147
8EGI,X-ray,2.30 A,B/D=1-147
8FDK,X-ray,1.89 A,B/D=2-147
8FDL,X-ray,1.75 A,B/D=2-147
8FDM,X-ray,1.91 A,B/D=2-147
8FDN,X-ray,2.20 A,B/D=2-147
8VYL,X-ray,2.02 A,B/D=1-147
8WJ0,EM,2.24 A,B=1-147
8WJ1,EM,2.27 A,B=1-147
8WJ2,EM,2.35 A,B=1-147
8WXZ,X-ray,2.30 A,P=34-48
8XMP,EM,3.11 A,G=1-147
8XMQ,EM,3.21 A,G=1-147
8XMW,EM,2.94 A,B=1-147
9AV9,X-ray,1.94 A,B/D=2-147
9AYZ,X-ray,2.24 A,B/D/F/H=2-147
9BCJ,X-ray,1.69 A,B=2-147
9FHB,EM,3.87 A,B=1-147
9FMU,EM,4.46 A,B=1-147
9FNO,EM,5.20 A,B=1-147
